time,geo_value,geo_type,covid,Season,flu,rsv
2025-04-26,Toronto,OH Region,30,2024-2025,31,12
2025-04-26,West,OH Region,30,2024-2025,35,3
2025-04-19,Central,OH Region,26,2024-2025,54,5
2025-04-19,East,OH Region,42,2024-2025,24,14
2025-04-19,North East,OH Region,11,2024-2025,8,2
2025-04-19,North West,OH Region,0,2024-2025,1,1
2025-04-19,Ontario,Province,143,2024-2025,150,44
2025-04-19,Toronto,OH Region,26,2024-2025,31,13
2025-04-19,West,OH Region,37,2024-2025,32,8
2025-04-12,Central,OH Region,19,2024-2025,61,6
2025-04-12,East,OH Region,28,2024-2025,36,13
2025-04-12,North East,OH Region,8,2024-2025,10,2
2025-04-12,North West,OH Region,0,2024-2025,1,2
2025-04-12,Ontario,Province,112,2024-2025,181,45
2025-04-12,Toronto,OH Region,22,2024-2025,34,10
2025-04-12,West,OH Region,35,2024-2025,38,11
2025-04-05,Central,OH Region,40,2024-2025,61,6
2025-04-05,East,OH Region,29,2024-2025,55,12
2025-04-05,North East,OH Region,3,2024-2025,16,5
2025-04-05,North West,OH Region,1,2024-2025,6,3
2025-04-05,Ontario,Province,134,2024-2025,221,62
2025-04-05,Toronto,OH Region,28,2024-2025,39,22
2025-04-05,West,OH Region,32,2024-2025,43,12
2025-03-29,Central,OH Region,40,2024-2025,66,7
2025-03-29,East,OH Region,40,2024-2025,85,17
2025-03-29,North East,OH Region,7,2024-2025,16,4
2025-03-29,North West,OH Region,0,2024-2025,8,4
2025-03-29,Ontario,Province,172,2024-2025,291,77
2025-03-29,Toronto,OH Region,38,2024-2025,51,32
2025-03-29,West,OH Region,45,2024-2025,64,13
2025-03-22,Central,OH Region,56,2024-2025,93,12
2025-03-22,East,OH Region,26,2024-2025,92,14
2025-03-22,North East,OH Region,4,2024-2025,34,1
2025-03-22,North West,OH Region,1,2024-2025,3,3
2025-03-22,Ontario,Province,178,2024-2025,379,84
2025-03-22,Toronto,OH Region,41,2024-2025,67,38
2025-03-22,West,OH Region,51,2024-2025,88,18
2025-03-15,Central,OH Region,49,2024-2025,85,13
2025-03-15,East,OH Region,28,2024-2025,124,22
2025-03-15,North East,OH Region,4,2024-2025,35,3
2025-03-15,North West,OH Region,3,2024-2025,18,3
2025-03-15,Ontario,Province,201,2024-2025,478,112
2025-03-15,Toronto,OH Region,50,2024-2025,106,47
2025-03-15,West,OH Region,65,2024-2025,106,22
2025-03-08,Central,OH Region,61,2024-2025,103,12
2025-03-08,East,OH Region,42,2024-2025,126,22
2025-03-08,North East,OH Region,9,2024-2025,38,7
2025-03-08,North West,OH Region,3,2024-2025,26,4
2025-03-08,Ontario,Province,276,2024-2025,518,124
2025-03-08,Toronto,OH Region,78,2024-2025,107,52
2025-03-08,West,OH Region,82,2024-2025,116,26
2025-03-01,Central,OH Region,74,2024-2025,92,9
2025-03-01,East,OH Region,60,2024-2025,147,26
2025-03-01,North East,OH Region,23,2024-2025,35,7
2025-03-01,North West,OH Region,3,2024-2025,20,3
2025-03-01,Ontario,Province,350,2024-2025,535,131
2025-03-01,Toronto,OH Region,89,2024-2025,97,56
2025-03-01,West,OH Region,103,2024-2025,138,29
2025-02-22,Central,OH Region,84,2024-2025,119,20
2025-02-22,East,OH Region,84,2024-2025,157,36
2025-02-22,North East,OH Region,23,2024-2025,32,10
2025-02-22,North West,OH Region,2,2024-2025,17,1
2025-02-22,Ontario,Province,448,2024-2025,619,151
2025-02-22,Toronto,OH Region,116,2024-2025,114,56
2025-02-22,West,OH Region,134,2024-2025,173,28
2025-02-15,Central,OH Region,106,2024-2025,152,33
2025-02-15,East,OH Region,100,2024-2025,170,33
2025-02-15,North East,OH Region,16,2024-2025,45,7
2025-02-15,North West,OH Region,3,2024-2025,17,3
2025-02-15,Ontario,Province,497,2024-2025,718,170
2025-02-15,Toronto,OH Region,120,2024-2025,129,60
2025-02-15,West,OH Region,144,2024-2025,196,35
2025-02-08,Central,OH Region,121,2024-2025,151,31
2025-02-08,East,OH Region,105,2024-2025,156,47
2025-02-08,North East,OH Region,22,2024-2025,45,8
2025-02-08,North West,OH Region,2,2024-2025,21,4
2025-02-08,Ontario,Province,519,2024-2025,719,212
2025-02-08,Toronto,OH Region,128,2024-2025,144,79
2025-02-08,West,OH Region,143,2024-2025,199,42
2025-02-01,Central,OH Region,142,2024-2025,154,46
2025-02-01,East,OH Region,118,2024-2025,127,40
2025-02-01,North East,OH Region,27,2024-2025,33,7
2025-02-01,North West,OH Region,5,2024-2025,16,6
2025-02-01,Ontario,Province,597,2024-2025,665,255
2025-02-01,Toronto,OH Region,151,2024-2025,143,85
2025-02-01,West,OH Region,154,2024-2025,190,70
2025-01-25,Central,OH Region,141,2024-2025,120,44
2025-01-25,East,OH Region,141,2024-2025,126,49
2025-01-25,North East,OH Region,36,2024-2025,19,8
2025-01-25,North West,OH Region,8,2024-2025,6,6
2025-01-25,Ontario,Province,689,2024-2025,551,263
2025-01-25,Toronto,OH Region,179,2024-2025,121,86
